1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.003364,0.000692,0.000416,0.000256,0.000057,0.000085,0.000048,0.000024,0.028491,0.022026,0.021253,0.018637,0.015278,0.014619,0.006296,0.008865
-0.000597,0.000737,0.000111,0.000164,0.000034,0.000008,0.000018,-0.000006,0.022723,0.019178,0.017674,0.017086,0.013961,0.012979,0.005869,0.011736
-0.006239,-0.002650,0.000037,-0.000074,-0.000132,-0.000232,0.000002,-0.000433,0.032748,0.022600,0.023707,0.017561,0.015457,0.018135,0.005593,0.011195
-0.001194,0.000845,0.000113,-0.000015,-0.000033,0.000099,-0.000008,-0.000165,0.036257,0.018066,0.024239,0.016367,0.013016,0.017803,0.006353,0.009784
-0.003762,0.000100,-0.000453,-0.000261,-0.000029,-0.000313,-0.000012,-0.000195,0.037646,0.019570,0.017929,0.018242,0.014081,0.019371,0.004971,0.008601
-0.005208,-0.003027,0.000402,0.000061,-0.000158,-0.000139,0.000009,0.000037,0.033826,0.026316,0.023360,0.017773,0.017519,0.011375,0.004915,0.009959
0.002948,-0.000206,0.000463,0.000183,0.000309,0.000508,0.000025,-0.000317,0.032310,0.026476,0.018622,0.019579,0.020237,0.017539,0.005271,0.010870
0.002948,-0.000730,-0.000431,-0.000214,-0.000146,0.000040,0.000011,0.000195,0.034770,0.019383,0.019100,0.016020,0.018278,0.017213,0.005401,0.010978
-0.002116,-0.000743,0.000302,-0.000127,-0.000114,-0.000062,0.000028,0.000238,0.029981,0.020646,0.016367,0.017123,0.015038,0.018641,0.005977,0.008443
-0.005642,0.001941,-0.000545,0.000201,0.000160,0.000112,0.000016,0.000043,0.031288,0.020499,0.020573,0.011274,0.017835,0.010870,0.005386,0.010857
-0.001374,0.003201,-0.000232,0.000061,0.000044,0.000126,0.000025,0.000031,0.032951,0.021124,0.019866,0.012730,0.013113,0.014209,0.007082,0.008356
-0.003400,0.000556,0.000347,-0.000003,-0.000036,0.000174,0.000025,0.000024,0.034680,0.017564,0.022176,0.018301,0.015315,0.014590,0.005658,0.007042
0.002459,0.000739,0.000001,0.000057,-0.000067,-0.000212,-0.000015,0.000024,0.035722,0.019407,0.017890,0.016862,0.016367,0.016177,0.004697,0.009921
0.001754,-0.001708,0.000071,-0.000089,0.000120,-0.000015,0.000020,-0.000385,0.030042,0.024949,0.022295,0.015849,0.017689,0.014869,0.005909,0.010566
-0.002025,-0.000646,0.000270,-0.000179,0.000046,-0.000122,-0.000038,-0.000067,0.024990,0.024123,0.015055,0.013351,0.008984,0.012486,0.006082,0.009668
-0.001447,0.002024,-0.000308,0.000098,-0.000100,0.000222,-0.000003,0.000146,0.029161,0.020578,0.020033,0.019051,0.014448,0.013950,0.005028,0.008821
-0.001393,-0.000178,-0.000075,0.000121,0.000669,0.000262,0.000006,-0.000043,0.028438,0.019387,0.018437,0.018003,0.019689,0.019923,0.006118,0.011439
0.000253,0.000963,-0.000897,0.000111,0.000164,0.000219,0.000027,0.000073,0.035774,0.020637,0.020070,0.018055,0.014316,0.016389,0.006314,0.009959
-0.000163,0.000731,0.000242,0.000284,-0.000026,-0.000180,0.000015,0.000262,0.028827,0.018575,0.024596,0.019536,0.017796,0.016554,0.005414,0.011798
-0.000398,-0.001522,0.000493,-0.000442,0.000175,-0.000088,-0.000006,-0.000189,0.029656,0.023139,0.023156,0.017885,0.019125,0.019408,0.005457,0.008122
-0.002731,0.000003,-0.000473,-0.000136,0.000072,-0.000039,-0.000003,0.000177,0.025439,0.021502,0.022465,0.017958,0.018357,0.014500,0.006572,0.011065
0.000904,0.003611,-0.000029,0.000167,0.000008,0.000546,0.000002,-0.000110,0.025146,0.024104,0.017774,0.017956,0.021106,0.016188,0.005843,0.007359
0.000723,0.000811,-0.000308,-0.000543,-0.000189,-0.000524,0.000012,0.000012,0.027962,0.020312,0.018579,0.016533,0.019498,0.017763,0.004954,0.010663
-0.008066,0.000520,0.000650,-0.000086,-0.000180,0.000229,0.000032,0.000012,0.033866,0.022386,0.024983,0.015806,0.018785,0.014533,0.006251,0.010627
0.004630,0.000829,0.000325,-0.000162,-0.000117,0.000067,-0.000031,-0.000043,0.030579,0.020098,0.018660,0.016823,0.016813,0.018260,0.006994,0.007886
0.000036,-0.000881,0.000107,0.000231,-0.000156,-0.000021,-0.000002,-0.000146,0.030964,0.018331,0.015920,0.017951,0.015882,0.017204,0.006200,0.010035
